Item Fat Content,Item Identifier,Item Type,Outlet Establishment Year,Outlet Identifier,Outlet Location Type,Outlet Size,Outlet Type,Item Visibility,Item Weight,Sales,Rating
Low Fat,NCR38,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.11,17.25,253.47,5
Low Fat,NCM30,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.07,19.10,41.98,5
Low Fat,FDK43,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.03,9.80,126.30,5
Low Fat,FDK21,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.01,7.91,249.64,5
Low Fat,FDR45,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.03,10.80,239.22,5
Low Fat,FDV09,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.02,12.10,147.57,5
Regular,FDU12,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.08,15.50,261.76,5
Regular,FDZ47,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.08,20.70,99.80,5
Regular,FDO11,Breads,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.03,8.00,247.41,5
Regular,FDU49,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.03,19.50,85.55,5
Regular,FDA02,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.03,14.00,145.48,5
Regular,FDV26,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.00,20.25,194.28,5
Regular,FDA04,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.07,11.30,257.30,5
Regular,FDO52,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.08,11.60,172.41,5
Regular,FDA40,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.10,16.00,87.09,5
Regular,FDS27,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.01,10.20,197.11,5
Regular,FDU15,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.03,13.65,37.95,5
Regular,FDV33,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.03,9.60,259.23,5
Regular,FDV34,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.01,10.70,73.50,5
Regular,FDX46,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.06,12.30,59.16,5
low fat,NCA53,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.01,11.40,50.30,5
reg,FDT24,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.19,12.35,78.23,5
reg,FDX27,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.11,20.70,94.94,5
LF,NCQ38,Others,2018,OUT019,Tier 1,Small,Grocery Store,0.02,,108.23,5
Low Fat,FDK02,Canned,2018,OUT019,Tier 1,Small,Grocery Store,0.20,,120.54,5
Low Fat,FDI15,Dairy,2018,OUT019,Tier 1,Small,Grocery Store,0.25,,263.19,5
Low Fat,FDE09,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,0.04,,109.72,5
Low Fat,FDS55,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,0.14,,150.37,5
Low Fat,FDZ56,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,0.05,,167.55,5
Low Fat,NCA05,Health and Hygiene,2018,OUT019,Tier 1,Small,Grocery Store,0.04,,148.27,5
Low Fat,NCK29,Health and Hygiene,2018,OUT019,Tier 1,Small,Grocery Store,0.00,,123.47,5
Low Fat,NCU29,Health and Hygiene,2018,OUT019,Tier 1,Small,Grocery Store,0.04,,145.98,5
Low Fat,NCX41,Health and Hygiene,2018,OUT019,Tier 1,Small,Grocery Store,0.03,,210.52,5
Low Fat,NCG07,Household,2018,OUT019,Tier 1,Small,Grocery Store,0.09,,189.75,5
Low Fat,NCI30,Household,2018,OUT019,Tier 1,Small,Grocery Store,0.10,,244.35,5
Low Fat,NCR54,Household,2018,OUT019,Tier 1,Small,Grocery Store,0.16,,194.71,5
Low Fat,NCT06,Household,2018,OUT019,Tier 1,Small,Grocery Store,0.07,,167.78,5
Low Fat,FDN15,Meat,2018,OUT019,Tier 1,Small,Grocery Store,0.03,,140.32,5
Low Fat,FDJ45,Seafood,2018,OUT019,Tier 1,Small,Grocery Store,0.13,,34.22,5
Regular,FDL13,Breakfast,2018,OUT019,Tier 1,Small,Grocery Store,0.10,,232.73,5
Regular,FDL02,Canned,2018,OUT019,Tier 1,Small,Grocery Store,0.18,,107.16,5
Regular,FDF56,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,0.21,,179.20,5
Regular,FDQ27,Meat,2018,OUT019,Tier 1,Small,Grocery Store,0.08,,101.40,5
Regular,FDG35,Starchy Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.01,,173.87,5
reg,FDD38,Canned,2018,OUT019,Tier 1,Small,Grocery Store,0.01,,103.77,5
reg,FDE41,Frozen Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.00,,83.76,5
Low Fat,FDP24,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.08,20.60,119.48,5
Low Fat,FDH38,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.01,6.43,115.88,5
Low Fat,FDT49,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.15,7.00,107.73,5
Low Fat,FDN02,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.07,16.50,208.86,5
Low Fat,DRF27,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.03,8.93,154.53,5
Low Fat,FDT02,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.02,12.60,36.19,5
Low Fat,FDF05,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.03,17.50,264.49,5
Low Fat,FDI45,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.04,13.10,175.51,5
Low Fat,FDZ20,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.03,16.10,252.34,5
Low Fat,NCC42,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,0.04,15.00,140.28,5
Low Fat,NCQ53,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,0.02,17.60,234.66,5
Low Fat,NCR54,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.09,16.35,198.21,5
Low Fat,NCX06,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.02,17.60,182.70,5
Low Fat,NCO06,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.11,19.25,32.46,5
Low Fat,NCN54,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.02,20.35,76.13,5
Low Fat,FDL27,Meat,2016,OUT046,Tier 1,Small,Supermarket Type1,0.01,6.17,65.98,5
Low Fat,FDV51,Meat,2016,OUT046,Tier 1,Small,Supermarket Type1,0.03,16.35,165.78,5
Low Fat,FDC46,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.12,17.70,182.63,5
Low Fat,FDZ58,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.05,17.85,122.81,5
Low Fat,FDN21,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.08,18.60,161.02,5
Low Fat,FDO58,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.04,19.60,166.15,5
Low Fat,DRD24,Soft Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,0.03,13.85,143.32,5
Low Fat,DRI37,Soft Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,0.11,15.85,58.79,5
Regular,FDI12,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.10,9.40,89.69,5
Regular,FDP12,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.05,9.80,36.99,5
Regular,FDO01,Breakfast,2016,OUT046,Tier 1,Small,Supermarket Type1,0.02,21.10,130.50,5
Regular,FDZ37,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.02,8.10,88.62,5
Regular,FDJ15,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.02,11.35,182.56,5
Regular,FDM04,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.05,9.20,53.17,5
Regular,FDI40,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.13,11.50,100.84,5
Regular,FDX04,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.04,19.60,49.94,5
Regular,FDS15,Meat,2016,OUT046,Tier 1,Small,Supermarket Type1,0.08,9.20,106.36,5
Regular,FDJ57,Seafood,2016,OUT046,Tier 1,Small,Supermarket Type1,0.02,7.42,184.66,5
Regular,FDG21,Seafood,2016,OUT046,Tier 1,Small,Supermarket Type1,0.15,17.35,150.41,5
Regular,FDW21,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.01,5.34,99.54,5
Regular,FDX10,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.12,6.39,37.19,5
LF,DRI51,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.00,17.25,171.58,5
LF,NCZ17,Health and Hygiene,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.00,12.15,39.15,5
LF,DRE25,Soft Drinks,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.07,15.35,91.91,5
Low Fat,FDT60,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.08,12.00,124.64,5
Low Fat,FDN24,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.11,14.10,56.20,5
Low Fat,FDO37,Breakfast,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.02,8.06,232.03,5
Low Fat,FDI14,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.09,14.10,140.25,5
Low Fat,FDW37,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.12,19.20,89.75,5
Low Fat,DRC27,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.06,13.80,247.48,5
Low Fat,FDK16,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.12,9.07,96.01,5
Low Fat,FDK41,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.13,14.30,83.62,5
Low Fat,FDY31,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.04,5.98,146.14,5
Low Fat,FDT20,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.04,10.50,36.82,5
Low Fat,FDI45,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.04,13.10,175.81,5
Low Fat,FDG57,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.07,14.70,48.60,5
Low Fat,FDN32,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.02,17.50,184.83,5
Low Fat,FDX19,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.10,19.10,233.90,5
Low Fat,FDP20,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.05,19.85,125.60,5
Low Fat,NCR17,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.02,9.80,116.45,5
Low Fat,NCT17,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.04,10.80,190.02,5
Low Fat,NCU05,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.06,11.80,79.16,5
Low Fat,NCT42,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.02,5.88,148.44,5
Low Fat,NCV18,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.11,6.78,84.63,5
Low Fat,NCH43,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.07,8.42,216.42,5
Low Fat,NCE18,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.02,10.00,251.68,5
Low Fat,NCC18,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.18,19.10,173.94,5
Low Fat,NCJ42,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.01,19.75,104.23,5
Low Fat,FDQ10,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.03,12.85,172.44,5
Low Fat,FDL34,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.04,16.00,142.65,5
Low Fat,DRK37,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.00,5.00,189.85,5
Low Fat,DRF48,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.05,5.73,188.19,5
Low Fat,DRG49,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.07,7.81,246.05,5
Low Fat,FDX60,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.08,14.35,79.20,5
Low Fat,FDS13,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,0.13,6.47,266.89,5
Low Fat,FDC50,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,0.14,15.85,94.41,5
Low Fat,FDK51,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,0.01,19.85,264.59,5
Low Fat,FDD17,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.03,7.50,239.69,5
Low Fat,FDJ28,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.02,12.30,191.22,5
Low Fat,FDP16,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.04,18.60,243.68,5
Low Fat,FDB20,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.05,7.72,79.20,5
Low Fat,FDP56,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.05,8.19,49.97,5
Low Fat,FDT43,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.02,16.35,50.83,5
Low Fat,DRI59,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,0.04,9.50,223.51,5
Low Fat,DRN47,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,0.02,12.10,178.37,5
Low Fat,DRM23,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,0.14,16.60,173.34,5
Low Fat,NCN53,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.03,5.18,33.59,5
Low Fat,NCT53,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.05,5.40,163.05,5
Low Fat,NCQ05,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.00,11.40,149.27,5
Low Fat,NCM53,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.05,18.75,108.13,5
Low Fat,NCX42,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,0.01,6.36,163.05,5
Low Fat,NCT18,Household,2020,OUT017,Tier 2,High,Supermarket Type1,0.06,14.60,179.70,5
Low Fat,NCI30,Household,2020,OUT017,Tier 2,High,Supermarket Type1,0.06,20.25,246.45,5
Low Fat,NCE54,Household,2020,OUT017,Tier 2,High,Supermarket Type1,0.03,20.70,73.94,5
Low Fat,FDH19,Meat,2020,OUT017,Tier 2,High,Supermarket Type1,0.03,19.35,173.87,5
Low Fat,FDT03,Meat,2020,OUT017,Tier 2,High,Supermarket Type1,0.01,21.25,183.16,5
Low Fat,NCN19,Others,2020,OUT017,Tier 2,High,Supermarket Type1,0.01,13.10,190.25,5
Low Fat,NCQ43,Others,2020,OUT017,Tier 2,High,Supermarket Type1,0.11,17.75,108.89,5
Low Fat,FDK09,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.09,15.20,227.24,5
Low Fat,FDV46,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.01,18.20,139.82,5
Low Fat,FDY46,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.05,18.60,188.99,5
Regular,FDK26,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,0.03,5.46,187.62,5
Regular,FDI50,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,0.03,8.42,227.64,5
Regular,FDB26,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,0.03,14.00,52.36,5
Regular,FDY49,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,0.01,17.20,165.72,5
Regular,FDB04,Dairy,2015,OUT045,Tier 2,High,Supermarket Type1,0.06,11.35,88.99,5
Regular,FDA02,Dairy,2015,OUT045,Tier 2,High,Supermarket Type1,0.03,14.00,146.38,5
Regular,FDZ28,Frozen Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.05,20.00,128.07,5
Regular,FDE17,Frozen Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.05,20.10,152.24,5
Regular,FDQ19,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,0.01,7.35,241.35,5
Regular,FDM08,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,0.05,10.10,222.91,5
Regular,FDP03,Meat,2015,OUT045,Tier 2,High,Supermarket Type1,0.06,5.15,122.14,5
Regular,FDU58,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.00,6.61,186.49,5
Regular,FDU46,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.01,10.30,84.85,5
Regular,FDY34,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.01,10.50,167.18,5
Regular,FDO09,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.13,13.50,262.19,5
Regular,FDP48,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,0.04,7.52,181.40,5
Regular,FDI12,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,0.10,9.40,86.89,5
Regular,FDY12,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,0.14,9.80,50.00,5
Regular,FDX48,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,0.04,17.75,154.07,5
Regular,FDV60,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,0.12,20.20,195.81,5
Regular,FDQ47,Breads,2020,OUT017,Tier 2,High,Supermarket Type1,0.17,7.16,35.29,5
Regular,FDZ13,Canned,2020,OUT017,Tier 2,High,Supermarket Type1,0.15,7.84,50.84,5
Regular,FDM04,Frozen Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.05,9.20,50.87,5
Regular,FDS04,Frozen Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.15,10.20,141.58,5
Regular,FDV28,Frozen Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.00,16.10,35.16,5
Regular,FDU19,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.05,8.77,170.54,5
Regular,FDE56,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.16,17.25,61.52,5
Regular,FDI07,Meat,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.03,12.35,197.24,5
Regular,FDU15,Meat,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.00,13.65,36.65,5
Regular,FDU27,Meat,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.17,18.60,47.14,5
Regular,FDN39,Meat,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.07,19.35,167.08,5
Regular,FDV10,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.07,7.65,44.01,5
Regular,FDO45,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.04,13.15,89.49,5
Regular,FDB23,Starchy Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.01,19.20,226.61,5
